load_0,load_1,load_2,load_3,load_4,load_5,load_6
0.0030784631113165814,0.003053147518273951,0.0030885950489148504,0.0030939901371592627,0.003032784328010306,0.0010608706794254664,0.002073379601987531
0.0030248724750134366,0.0030714994875174636,0.003083790365949429,0.003083402399224884,0.003038584125348993,0.0010054672194613728,0.00204991962268515
0.003096915707331124,0.003029382797721934,0.0030130758903468002,0.0030195038148887353,0.0030788046818827353,0.001085569827737203,0.002010618942937084
0.003032080260654358,0.003095034174791507,0.003063300743954424,0.003021132889805743,0.0030041180725085574,0.0010999848131887796,0.002014809896944157
0.003037314336552403,0.0030574822906507654,0.0030927182862170647,0.0030620880723789034,0.0030782463415801264,0.0010618557901199458,0.00206702349882032
0.0030218563868504304,0.0030577608784866767,0.0030645478257215735,0.0030089375029595297,0.0030146267478224054,0.0010009896588709488,0.00207575981821163
0.0030482725874715396,0.0030660264308620447,0.003094374133589639,0.003073355845447619,0.0030059356519330097,0.0010936301348454525,0.002063063742735833
0.003019173209084363,0.0030665877338239386,0.003099865324670116,0.0030619460195320893,0.003047881127732811,0.0010569505129466319,0.00204145915935975
0.0030935036873466436,0.0030451424938033765,0.0030472450979756706,0.0030102949205299207,0.0030968075709145886,0.0010533303688229309,0.0020828109183066907
0.0030013938894920757,0.0030050106655388708,0.0030595645687011325,0.0030434167210441104,0.0030595004420600116,0.0010258242274227838,0.0020185366771920048
