load_0,load_1,load_2,load_3,load_4
0.0030014555165578834,0.0030728471456697324,0.0010177295620141774,0.0010619097705995729,0.0010288877607669692
0.003061325224328645,0.0030273658451952508,0.0010109892681757567,0.0010294496180076767,0.00104733386330278
0.0030441029780769006,0.0030696791054175003,0.0010092158865940522,0.0010659617587859401,0.001033947424923339
0.0030163780158465867,0.00304196516771553,0.0010378346662721202,0.001014181900140329,0.0010754455443614166
0.003078101965633263,0.0030281498068334993,0.0010228878401577668,0.0010910778473323132,0.0010566353446995061
0.0030780808312696533,0.0030080129583998296,0.001014291317611097,0.0010872130842372722,0.0010472213010257175
0.0030110873302430933,0.0030895274484513654,0.0010667259969972644,0.0010195454983352873,0.0010460685849782525
0.0030764984680390103,0.0030565466082407363,0.0010083720301387088,0.0010743718345378476,0.0010001068081549095
0.0030947215490443455,0.003029808384492085,0.0010686112545578122,0.0010235604467525928,0.0010652441884337006
0.0030718495378700985,0.0030494938021172757,0.0010321385855820483,0.0010007033460398998,0.0010422710380704244
0.0030785314156076926,0.0030904065272349926,0.0010805379961117574,0.0010031226003153549,0.0010192976690178923
0.0030212839297491505,0.003056102879425045,0.001040130652436178,0.001061860062344777,0.0010904117594936712
0.003056799294392571,0.0030560513899717603,0.0010783252086362233,0.0010109532808602125,0.001063640666970306
0.0030379029432085584,0.003006125795536617,0.0010193174564570827,0.0010808068797527562,0.0010259233211598793
0.003011668181710336,0.003068119577607535,0.001029611520586792,0.0010026117958662878,0.001002168869597007
0.003028616376385797,0.0030845799891003342,0.001018234503974823,0.0010792798991502415,0.0010254619591851578
0.003039587359444298,0.0030746996643880764,0.001040582964496122,0.001098558600570404,0.0010515312932104495
0.003031164732633023,0.0030124832950915396,0.0010677632148575155,0.0010293648690799738,0.0010249240485027404
0.003059527138495707,0.0030437924787132275,0.0010224934196919973,0.0010922353508680581,0.001060797363902463
0.0030284488191749067,0.0030543673119599653,0.0010924334963023576,0.0010774415707675506,0.0010924744840337456
0.0030093198576108494,0.00303831302254853,0.001097101693478011,0.001005277321128751,0.0010616295422277728
0.0030336013165313813,0.0030625294729032413,0.0010673973538260703,0.0010579919738538974,0.001061814436836659
0.0030060814571800975,0.0030126459203620804,0.0010456423133467382,0.0010497699184317231,0.0010474536621070554
0.0030541823704079026,0.0030828042093739853,0.0010548886850173579,0.0010449493296260635,0.00104170803787978
0.0030025885635806228,0.0030632655988638694,0.0010036767429641516,0.0010915954295874486,0.0010429871526472418
0.0030630690993029065,0.003008213803260378,0.001039315741301297,0.0010866377140761661,0.0010718563821867585
0.0030767476328597923,0.0030632811590373494,0.0010034091836414905,0.0010927543454957065,0.001086333563990943
0.003089149623028205,0.003067470191536509,0.0010230315777070033,0.001099071121396745,0.0010763150774824744
0.0030050315352812746,0.003051344585738128,0.0010370430330295553,0.0010405002409899521,0.0010623696861575777
0.0030761779531298956,0.0030353113687673016,0.0010643017972942984,0.0010012104645853294,0.0010410755008627426
0.0030464913840913387,0.0030821515379094366,0.001072827887582488,0.0010553580762299479,0.0010691212965089204
